K,N,Method,RMSE,Time
100,128,Crude MC,0.43107234616037376,0.000338747501373291
100,128,Plain RQMC,0.07360300989589248,0.0033287978172302246
100,128,Pre-Int (z1),0.06156801208545669,0.0449765682220459
100,128,Pre-Int (AS),0.0018916772047829211,0.04896469116210937
100,256,Crude MC,0.2870680022329881,0.0005283617973327637
100,256,Plain RQMC,0.05263887963634144,0.003634803295135498
100,256,Pre-Int (z1),0.03810073230275426,0.08597495317459107
100,256,Pre-Int (AS),0.0008179693254292928,0.09746114253997802
100,512,Crude MC,0.20396531113347902,0.0006419205665588379
100,512,Plain RQMC,0.025244599966984922,0.003541989326477051
100,512,Pre-Int (z1),0.020919160825542054,0.17312716007232665
100,512,Pre-Int (AS),0.00046983202965097194,0.19081145763397217
100,1024,Crude MC,0.13788238356063204,0.001541745662689209
100,1024,Plain RQMC,0.016711310369349367,0.005537712574005127
100,1024,Pre-Int (z1),0.013234756076379493,0.3129128003120422
100,1024,Pre-Int (AS),0.0001938642312817624,0.33914502382278444
100,2048,Crude MC,0.09919599271171788,0.0029318618774414064
100,2048,Plain RQMC,0.01021531853336031,0.008179705142974853
100,2048,Pre-Int (z1),0.00778106015637591,0.5931167554855347
100,2048,Pre-Int (AS),8.450816649191047e-05,0.6323690152168274
100,4096,Crude MC,0.07448031147544683,0.006199791431427002
100,4096,Plain RQMC,0.007109653370320133,0.014613573551177978
100,4096,Pre-Int (z1),0.005659820004307573,1.1366199350357056
100,4096,Pre-Int (AS),3.895612574964079e-05,1.2221838426589966
100,8192,Crude MC,0.05515600700635385,0.01857750177383423
100,8192,Plain RQMC,0.004248845598985279,0.029826159477233886
100,8192,Pre-Int (z1),0.00380165538809213,2.2605016875267028
100,8192,Pre-Int (AS),2.246052607612979e-05,2.3983940649032593
120,128,Crude MC,0.032173938168828936,0.00032366037368774413
120,128,MC + ODIS,0.003041509966390117,0.000314481258392334
120,128,Plain RQMC,0.03282187939771711,0.0027213287353515625
120,128,RQMC + ODIS,0.0024354401789733102,0.0029367947578430175
120,128,Pre-Int (AS),3.272359349754737e-05,0.046262309551239014
120,128,Pre-Int (AS) + ODIS,3.831630275484492e-05,0.05019441843032837
120,256,Crude MC,0.023581746710609624,0.00033410072326660155
120,256,MC + ODIS,0.0021254568497586397,0.0004609060287475586
120,256,Plain RQMC,0.02100661031221575,0.0032900118827819823
120,256,RQMC + ODIS,0.0020363171237507477,0.002944626808166504
120,256,Pre-Int (AS),1.4413279707528248e-05,0.09008845329284668
120,256,Pre-Int (AS) + ODIS,1.6015292294343235e-05,0.09395257711410522
120,512,Crude MC,0.01639088512141692,0.0008823728561401367
120,512,MC + ODIS,0.0016121608410177356,0.0008800101280212403
120,512,Plain RQMC,0.014073810755171565,0.0043540620803833
120,512,RQMC + ODIS,0.0012498733206985435,0.004436101913452149
120,512,Pre-Int (AS),8.221114267367886e-06,0.18487388849258424
120,512,Pre-Int (AS) + ODIS,8.627055788456964e-06,0.18844283103942872
120,1024,Crude MC,0.012105941689505099,0.001609933376312256
120,1024,MC + ODIS,0.0009986568794997043,0.0014122271537780763
120,1024,Plain RQMC,0.009140873893084088,0.0045151376724243165
120,1024,RQMC + ODIS,0.0008278745320391521,0.004691908359527588
120,1024,Pre-Int (AS),4.562582644101902e-06,0.33714343786239626
120,1024,Pre-Int (AS) + ODIS,4.36246568906411e-06,0.33637902975082395
120,2048,Crude MC,0.009291044415573034,0.002712216377258301
120,2048,MC + ODIS,0.0007980381662194393,0.003347630500793457
120,2048,Plain RQMC,0.00640515111137009,0.006990945339202881
120,2048,RQMC + ODIS,0.0006145393767941063,0.007489209175109863
120,2048,Pre-Int (AS),1.7644861668015892e-06,0.6318759799003602
120,2048,Pre-Int (AS) + ODIS,1.7788583023374795e-06,0.6311187839508057
120,4096,Crude MC,0.005883669935131658,0.007495005130767823
120,4096,MC + ODIS,0.0005934951989445754,0.008741018772125244
120,4096,Plain RQMC,0.0040019574321976574,0.015285611152648926
120,4096,RQMC + ODIS,0.00042988677424579506,0.015129594802856446
120,4096,Pre-Int (AS),8.94310429757919e-07,1.2220211672782897
120,4096,Pre-Int (AS) + ODIS,9.497568678420952e-07,1.223681342601776
120,8192,Crude MC,0.004574052718491342,0.013400716781616211
120,8192,MC + ODIS,0.0003704026688242711,0.016007695198059082
120,8192,Plain RQMC,0.00268366632019597,0.0257084059715271
120,8192,RQMC + ODIS,0.0002656067911989234,0.0275018572807312
120,8192,Pre-Int (AS),5.796133140645145e-07,2.4084953904151916
120,8192,Pre-Int (AS) + ODIS,5.091218122149624e-07,2.4147739720344545
