K,N,Method,RMSE,Time
100,128,Crude MC,0.025172281266374115,0.00042565663655598957
100,128,Plain RQMC,0.021518715947299514,0.0055026054382324215
100,128,Pre-Int (z1),0.015617895064140932,0.06100306510925293
100,128,Pre-Int (AS),0.00010250095321434171,0.06829366683959961
100,256,Crude MC,0.020541456924090245,0.000816957155863444
100,256,Plain RQMC,0.013419626629977465,0.005532105763753255
100,256,Pre-Int (z1),0.008020964740206703,0.11288089752197265
100,256,Pre-Int (AS),4.137555500237773e-05,0.15792402426401775
100,512,Crude MC,0.01753430926557569,0.0012539863586425782
100,512,Plain RQMC,0.008399432217421147,0.007511536280314128
100,512,Pre-Int (z1),0.005697545884080818,0.2122034549713135
100,512,Pre-Int (AS),1.994044285934841e-05,0.2344852844874064
100,1024,Crude MC,0.011940698645140883,0.002005195617675781
100,1024,Plain RQMC,0.008400526656822383,0.007271043459574382
100,1024,Pre-Int (z1),0.004446289120301063,0.3316540082295736
100,1024,Pre-Int (AS),9.760089612294176e-06,0.37402735551198324
100,2048,Crude MC,0.008281932994900851,0.003525225321451823
100,2048,Plain RQMC,0.00516501451968957,0.011698063214619954
100,2048,Pre-Int (z1),0.0034200252174233117,0.5974345366160075
100,2048,Pre-Int (AS),4.695741296296237e-06,0.6835739215215048
100,4096,Crude MC,0.005065048798338883,0.00888212521870931
100,4096,Plain RQMC,0.0034871349022655975,0.025101312001546226
100,4096,Pre-Int (z1),0.0013444585054542128,1.1127995014190675
100,4096,Pre-Int (AS),2.618059562959744e-06,1.266358502705892
100,8192,Crude MC,0.004124302451919809,0.019459613164265952
100,8192,Plain RQMC,0.0019880297670988156,0.04929874738057454
100,8192,Pre-Int (z1),0.0014621689080836543,2.2384942372639975
100,8192,Pre-Int (AS),1.4657881681711319e-06,2.8546985228856405
120,128,Crude MC,0.01033878525764235,0.0003124157587687174
120,128,MC + ODIS,0.0016528529621934586,0.0005261182785034179
120,128,Plain RQMC,0.007409415033880003,0.004674927393595377
120,128,RQMC + ODIS,0.0019005510983610382,0.004514066378275553
120,128,Pre-Int (AS),1.2046032812230974e-05,0.07118489742279052
120,128,Pre-Int (AS) + ODIS,1.2547467435774293e-05,0.0841492493947347
120,256,Crude MC,0.00502657429813636,0.0008118867874145508
120,256,MC + ODIS,0.001243757339005904,0.0008307536443074544
120,256,Plain RQMC,0.004722439652991387,0.005993278821309408
120,256,RQMC + ODIS,0.001581166911508185,0.006596175829569498
120,256,Pre-Int (AS),5.617572563570473e-06,0.1300792137781779
120,256,Pre-Int (AS) + ODIS,5.924946142454509e-06,0.12850350538889568
120,512,Crude MC,0.0032242513730163552,0.0014594475428263347
120,512,MC + ODIS,0.000981514901347453,0.0009319941202799479
120,512,Plain RQMC,0.003872233144560798,0.0058572689692179365
120,512,RQMC + ODIS,0.0007952473185030837,0.005620773633321126
120,512,Pre-Int (AS),3.462796046235061e-06,0.27413466771443684
120,512,Pre-Int (AS) + ODIS,2.668924388826208e-06,0.24109672705332438
120,1024,Crude MC,0.0033479636306733116,0.0022607644399007163
120,1024,MC + ODIS,0.0007401039927827666,0.002451658248901367
120,1024,Plain RQMC,0.0026222989211973453,0.006909076372782389
120,1024,RQMC + ODIS,0.0005569489866625606,0.007548379898071289
120,1024,Pre-Int (AS),1.3073039070742975e-06,0.37831289768218995
120,1024,Pre-Int (AS) + ODIS,9.054380244142581e-07,0.37533167997996014
120,2048,Crude MC,0.0019722127374192213,0.003273296356201172
120,2048,MC + ODIS,0.0003650888282785443,0.003829224904378255
120,2048,Plain RQMC,0.0018933002500256034,0.01327365239461263
120,2048,RQMC + ODIS,0.00044241647980604423,0.014139715830485027
120,2048,Pre-Int (AS),5.133880338462307e-07,0.7105620622634887
120,2048,Pre-Int (AS) + ODIS,5.890857787512419e-07,0.6920981963475545
120,4096,Crude MC,0.001304636558112522,0.010566210746765137
120,4096,MC + ODIS,0.00026354250938323846,0.013218871752421061
120,4096,Plain RQMC,0.001215883586825613,0.0226181427637736
120,4096,RQMC + ODIS,0.00030930463492054376,0.027696712811787923
120,4096,Pre-Int (AS),2.9254983046019144e-07,1.2775107304255167
120,4096,Pre-Int (AS) + ODIS,2.45836929866933e-07,1.2600478649139404
120,8192,Crude MC,0.001089449914418325,0.017936023076375325
120,8192,MC + ODIS,0.0001925377676742779,0.022080000241597494
120,8192,Plain RQMC,0.0009543874197431641,0.03694017728169759
120,8192,RQMC + ODIS,0.00015495122080963784,0.04218347072601318
120,8192,Pre-Int (AS),1.400854005760324e-07,2.570738418896993
120,8192,Pre-Int (AS) + ODIS,1.6310423161574737e-07,2.380783041318258
