K,N,Method,RMSE,Time
100,128,Crude MC,0.03147813708463295,0.0003855729103088379
100,128,Plain RQMC,0.02136738803303445,0.0036638879776000974
100,128,Pre-Int (z1),0.013183954646657696,0.05715866565704346
100,128,Pre-Int (AS),9.051731832639415e-05,0.06397400617599487
100,256,Crude MC,0.023360090086246982,0.0006693577766418457
100,256,Plain RQMC,0.013612274204024834,0.005981826782226562
100,256,Pre-Int (z1),0.0076040089684284475,0.10422552585601806
100,256,Pre-Int (AS),4.1809348498662456e-05,0.11770399808883666
100,512,Crude MC,0.015419887360312926,0.0009592556953430175
100,512,Plain RQMC,0.009841631539615479,0.006079480648040771
100,512,Pre-Int (z1),0.005595848365946091,0.20234803915023802
100,512,Pre-Int (AS),2.1094567022499224e-05,0.22046640634536743
100,1024,Crude MC,0.010773828759439589,0.0021283507347106935
100,1024,Plain RQMC,0.006347862149533243,0.0074164819717407226
100,1024,Pre-Int (z1),0.004078367475695287,0.349831383228302
100,1024,Pre-Int (AS),1.0037287462582747e-05,0.36549570322036745
100,2048,Crude MC,0.007367397242112429,0.004003198146820069
100,2048,Plain RQMC,0.004269272874106641,0.0127687668800354
100,2048,Pre-Int (z1),0.0027689175387142608,0.6405086660385132
100,2048,Pre-Int (AS),4.706289245635739e-06,0.6781586241722107
100,4096,Crude MC,0.006384751551631253,0.010111181735992432
100,4096,Plain RQMC,0.0030887899241169494,0.02179912805557251
100,4096,Pre-Int (z1),0.001763961112634091,1.1793910264968872
100,4096,Pre-Int (AS),2.22457813461121e-06,1.2932547783851625
100,8192,Crude MC,0.00414334809015635,0.023346986770629883
100,8192,Plain RQMC,0.0023972690902160213,0.049968979358673095
100,8192,Pre-Int (z1),0.0011772450069285558,2.2496578979492186
100,8192,Pre-Int (AS),1.5149783984567277e-06,2.39974730014801
120,128,Crude MC,0.008804371040342195,0.0003014230728149414
120,128,MC + ODIS,0.0018516867211165258,0.00041429996490478517
120,128,Plain RQMC,0.00740336799420712,0.004179244041442871
120,128,RQMC + ODIS,0.001582208263406413,0.004469239711761474
120,128,Pre-Int (AS),1.38170530854627e-05,0.0603844952583313
120,128,Pre-Int (AS) + ODIS,1.084351796884303e-05,0.05854255676269531
120,256,Crude MC,0.007108481314698433,0.0006632852554321289
120,256,MC + ODIS,0.0012286826312089695,0.0005973887443542481
120,256,Plain RQMC,0.005822050649093835,0.004252469539642334
120,256,RQMC + ODIS,0.0012251943473676583,0.00558133602142334
120,256,Pre-Int (AS),6.552604934605258e-06,0.1122363829612732
120,256,Pre-Int (AS) + ODIS,5.3774525555110215e-06,0.11533854246139526
120,512,Crude MC,0.005471038221917916,0.0011036562919616699
120,512,MC + ODIS,0.0009047782921309583,0.0010688424110412598
120,512,Plain RQMC,0.003780745573921732,0.005488224029541015
120,512,RQMC + ODIS,0.0008073316870070847,0.005490493774414062
120,512,Pre-Int (AS),3.3373669800222004e-06,0.24107663631439208
120,512,Pre-Int (AS) + ODIS,2.708493692188255e-06,0.22670676708221435
120,1024,Crude MC,0.0034693581386694037,0.001905062198638916
120,1024,MC + ODIS,0.0006287092630162304,0.002027261257171631
120,1024,Plain RQMC,0.002589822742020233,0.006586036682128906
120,1024,RQMC + ODIS,0.00060238699525516,0.007594373226165772
120,1024,Pre-Int (AS),1.5941617511094711e-06,0.39328345060348513
120,1024,Pre-Int (AS) + ODIS,1.414686753080387e-06,0.389484076499939
120,2048,Crude MC,0.0021616449729390534,0.003813934326171875
120,2048,MC + ODIS,0.0004881394920985236,0.0052224135398864745
120,2048,Plain RQMC,0.0016173806939216067,0.012242753505706788
120,2048,RQMC + ODIS,0.00038818701621293726,0.012655515670776368
120,2048,Pre-Int (AS),5.365599418598367e-07,0.7100497984886169
120,2048,Pre-Int (AS) + ODIS,6.325295893136344e-07,0.6820586085319519
120,4096,Crude MC,0.0018408046067311774,0.01092010498046875
120,4096,MC + ODIS,0.00034643984225680996,0.011567227840423584
120,4096,Plain RQMC,0.0010899474297689671,0.02247737169265747
120,4096,RQMC + ODIS,0.0002998900068147445,0.024497339725494383
120,4096,Pre-Int (AS),3.387045134476104e-07,1.2947754955291748
120,4096,Pre-Int (AS) + ODIS,3.026021886306089e-07,1.2393623089790344
120,8192,Crude MC,0.001267092142002599,0.01962367057800293
120,8192,MC + ODIS,0.00023754231275412708,0.022146193981170653
120,8192,Plain RQMC,0.0008816274234582608,0.038626773357391356
120,8192,RQMC + ODIS,0.0002006471930075422,0.039823558330535885
120,8192,Pre-Int (AS),2.1866055345926414e-07,2.444221019744873
120,8192,Pre-Int (AS) + ODIS,1.7515451077630454e-07,2.392130260467529
