K,N,Method,RMSE,Time,d
100,128,Crude MC,0.44264450085467644,0.00048259735107421877,32
100,128,Plain RQMC,0.08104224772694754,0.0056686592102050785,32
100,128,Pre-Int (z1),0.07354487706404246,0.083782958984375,32
100,128,Pre-Int (AS),0.0019443110815506703,0.09074639797210693,32
100,256,Crude MC,0.2540638872203067,0.0008062076568603516,32
100,256,Plain RQMC,0.04958377423468294,0.0054125642776489255,32
100,256,Pre-Int (z1),0.029782580123970757,0.16386326313018798,32
100,256,Pre-Int (AS),0.0008779596118324596,0.180035719871521,32
100,512,Crude MC,0.24471408933181973,0.0010911178588867186,32
100,512,Plain RQMC,0.027580268557595596,0.00603294849395752,32
100,512,Pre-Int (z1),0.020143281927767095,0.26714359283447264,32
100,512,Pre-Int (AS),0.00042557761063768946,0.2546578598022461,32
100,1024,Crude MC,0.11361750688790825,0.0017374515533447265,32
100,1024,Plain RQMC,0.014280349648527589,0.007570343017578125,32
100,1024,Pre-Int (z1),0.013529551130505116,0.4045162391662598,32
100,1024,Pre-Int (AS),0.00020422204624053738,0.4321939134597778,32
100,2048,Crude MC,0.09935343708354608,0.0032582330703735353,32
100,2048,Plain RQMC,0.01034647680905164,0.011509795188903809,32
100,2048,Pre-Int (z1),0.006994873683924075,0.7372002840042114,32
100,2048,Pre-Int (AS),9.401967245414695e-05,0.781154637336731,32
100,4096,Crude MC,0.0733581318116961,0.01100383758544922,32
100,4096,Plain RQMC,0.008543537590259248,0.026395511627197266,32
100,4096,Pre-Int (z1),0.0050066695902652395,1.3724443101882935,32
100,4096,Pre-Int (AS),3.773570811450255e-05,1.4977620077133178,32
100,8192,Crude MC,0.05375038270154872,0.02232609748840332,32
100,8192,Plain RQMC,0.0047435294664600084,0.0397679328918457,32
100,8192,Pre-Int (z1),0.003914953246537221,2.657834782600403,32
100,8192,Pre-Int (AS),2.887785803195242e-05,2.8594828701019286,32
120,128,Crude MC,0.03474971246621318,0.00039748191833496096,32
120,128,MC + ODIS,0.002653624572640725,0.000565195083618164,32
120,128,Plain RQMC,0.024842851626399837,0.004305262565612793,32
120,128,RQMC + ODIS,0.0028814773485543615,0.004413223266601563,32
120,128,Pre-Int (AS),3.6652319670257286e-05,0.07789876461029052,32
120,128,Pre-Int (AS) + ODIS,3.328625910436919e-05,0.0787343692779541,32
120,256,Crude MC,0.028751815823050576,0.0006162405014038086,32
120,256,MC + ODIS,0.0021499995462053016,0.0007948970794677734,32
120,256,Plain RQMC,0.020598746200656985,0.005121965408325196,32
120,256,RQMC + ODIS,0.001883131441690868,0.005080833435058594,32
120,256,Pre-Int (AS),1.9930543091377558e-05,0.15286455631256105,32
120,256,Pre-Int (AS) + ODIS,1.607580344535239e-05,0.14446994304656982,32
120,512,Crude MC,0.015585950252021115,0.0011765003204345704,32
120,512,MC + ODIS,0.001493811364687911,0.0012566375732421876,32
120,512,Plain RQMC,0.016399612299798236,0.005311427116394043,32
120,512,RQMC + ODIS,0.0010665687329243262,0.005170364379882813,32
120,512,Pre-Int (AS),8.78102057834292e-06,0.2521195459365845,32
120,512,Pre-Int (AS) + ODIS,7.970009138268623e-06,0.2520738458633423,32
120,1024,Crude MC,0.011715268632724317,0.0018351888656616211,32
120,1024,MC + ODIS,0.0010673420474831615,0.0020169115066528322,32
120,1024,Plain RQMC,0.009457804074949755,0.006190128326416015,32
120,1024,RQMC + ODIS,0.00089418679742816,0.0068124008178710935,32
120,1024,Pre-Int (AS),4.699460301244943e-06,0.4332555627822876,32
120,1024,Pre-Int (AS) + ODIS,4.933568198718733e-06,0.4305074596405029,32
120,2048,Crude MC,0.00811700688010178,0.003807334899902344,32
120,2048,MC + ODIS,0.000836848280384068,0.003964943885803223,32
120,2048,Plain RQMC,0.007853607220663715,0.010777788162231445,32
120,2048,RQMC + ODIS,0.0006134137261663024,0.010543737411499023,32
120,2048,Pre-Int (AS),1.8377256407925535e-06,0.7898369455337524,32
120,2048,Pre-Int (AS) + ODIS,1.648331656845042e-06,0.7811226558685302,32
120,4096,Crude MC,0.006062886242257849,0.009427924156188965,32
120,4096,MC + ODIS,0.0005140706815928225,0.01167994499206543,32
120,4096,Plain RQMC,0.0033846508787014258,0.02147738456726074,32
120,4096,RQMC + ODIS,0.00047674467554384545,0.022328004837036133,32
120,4096,Pre-Int (AS),8.517060258228647e-07,1.4710433435440065,32
120,4096,Pre-Int (AS) + ODIS,7.77325760599462e-07,1.4785574960708618,32
120,8192,Crude MC,0.004668999908347306,0.018569140434265136,32
120,8192,MC + ODIS,0.00042373233822278925,0.02344564437866211,32
120,8192,Plain RQMC,0.002717707591642518,0.037876949310302735,32
120,8192,RQMC + ODIS,0.00033091707463647275,0.041180777549743655,32
120,8192,Pre-Int (AS),5.93880037877047e-07,2.863146104812622,32
120,8192,Pre-Int (AS) + ODIS,5.574868140608179e-07,2.831674265861511,32
