K,N,Method,RMSE,Time,d
100,128,Crude MC,0.031722065037298075,0.0070626592636108395,512
100,128,Plain RQMC,0.03084973315998387,0.06913774967193603,512
100,128,Pre-Int (z1),0.021482111842948216,0.14842134952545166,512
100,128,Pre-Int (AS),0.00016402179107989184,0.16021525859832764,512
100,256,Crude MC,0.01979543357094126,0.013593411445617676,512
100,256,Plain RQMC,0.01697944858751203,0.08154178142547608,512
100,256,Pre-Int (z1),0.017273314359368283,0.2214090871810913,512
100,256,Pre-Int (AS),9.534863454524924e-05,0.2509107875823975,512
100,512,Crude MC,0.01517463260412692,0.025614447593688965,512
100,512,Plain RQMC,0.009618030883824506,0.10477103710174561,512
100,512,Pre-Int (z1),0.010855208784618795,0.32379197120666503,512
100,512,Pre-Int (AS),7.398981228133924e-05,0.3684891319274902,512
100,1024,Crude MC,0.010500858699022843,0.05037611961364746,512
100,1024,Plain RQMC,0.007002507744402845,0.15790380477905275,512
100,1024,Pre-Int (z1),0.007577247757428031,0.5277377796173096,512
100,1024,Pre-Int (AS),3.745351303493502e-05,0.6833500623703003,512
100,2048,Crude MC,0.008635329736605487,0.10111678123474122,512
100,2048,Plain RQMC,0.005594034122825762,0.2342371129989624,512
100,2048,Pre-Int (z1),0.004761311259360019,1.1049718284606933,512
100,2048,Pre-Int (AS),2.0668097809018235e-05,1.2326518630981445,512
100,4096,Crude MC,0.005600396435718776,0.2090275478363037,512
100,4096,Plain RQMC,0.003299005686579993,0.39931535720825195,512
100,4096,Pre-Int (z1),0.0028695023968667334,2.0217723655700683,512
100,4096,Pre-Int (AS),1.364147314237819e-05,2.3656778049468996,512
100,8192,Crude MC,0.004026598888535318,0.3781714963912964,512
100,8192,Plain RQMC,0.002597513292197438,0.706764349937439,512
100,8192,Pre-Int (z1),0.0022134424238966755,3.940031805038452,512
100,8192,Pre-Int (AS),6.716190774003882e-06,4.791247000694275,512
120,128,Crude MC,0.009191994354587023,0.010441865921020508,512
120,128,MC + ODIS,0.0015547151176161923,0.009867725372314453,512
120,128,Plain RQMC,0.008521406619195608,0.09036897659301758,512
120,128,RQMC + ODIS,0.0011739778048487678,0.08960559844970703,512
120,128,Pre-Int (AS),1.999715688206007e-05,0.2156766700744629,512
120,128,Pre-Int (AS) + ODIS,1.861939861337138e-05,0.21827973842620849,512
120,256,Crude MC,0.006708113308358905,0.019391803741455077,512
120,256,MC + ODIS,0.001327844832171186,0.020375795364379883,512
120,256,Plain RQMC,0.0050190284579678945,0.13065577507019044,512
120,256,RQMC + ODIS,0.0010372768856925455,0.09768118381500245,512
120,256,Pre-Int (AS),1.1781372613503457e-05,0.3008196258544922,512
120,256,Pre-Int (AS) + ODIS,1.1982518914430244e-05,0.2981663179397583,512
120,512,Crude MC,0.004263240369559576,0.03147589683532715,512
120,512,MC + ODIS,0.0007866228608829789,0.04103247165679932,512
120,512,Plain RQMC,0.0031994099587585785,0.12117467403411865,512
120,512,RQMC + ODIS,0.0007332928136634527,0.13262153148651123,512
120,512,Pre-Int (AS),7.618860067583496e-06,0.45199653148651125,512
120,512,Pre-Int (AS) + ODIS,8.320236663191862e-06,0.4632102012634277,512
120,1024,Crude MC,0.0028485413613529693,0.06513991355895996,512
120,1024,MC + ODIS,0.0005439051997585557,0.06996840000152588,512
120,1024,Plain RQMC,0.0028168391721958876,0.1724342918395996,512
120,1024,RQMC + ODIS,0.0005595514942214464,0.18116986274719238,512
120,1024,Pre-Int (AS),3.879087972965933e-06,0.7800387811660766,512
120,1024,Pre-Int (AS) + ODIS,4.604064574222718e-06,0.825416374206543,512
120,2048,Crude MC,0.001995092353496238,0.1241208028793335,512
120,2048,MC + ODIS,0.0003716430322331357,0.1404217529296875,512
120,2048,Plain RQMC,0.001583976470943495,0.2673772430419922,512
120,2048,RQMC + ODIS,0.0003133334384785185,0.29850637435913085,512
120,2048,Pre-Int (AS),2.5705069676555037e-06,1.4533002996444702,512
120,2048,Pre-Int (AS) + ODIS,2.4330157001413465e-06,1.4376096391677857,512
120,4096,Crude MC,0.0015543650278242605,0.23566430568695068,512
120,4096,MC + ODIS,0.0002277305854488783,0.25721638202667235,512
120,4096,Plain RQMC,0.0010435071998024204,0.42025744438171386,512
120,4096,RQMC + ODIS,0.00023505210261671886,0.4966778898239136,512
120,4096,Pre-Int (AS),1.3750683006811457e-06,2.7857662439346313,512
120,4096,Pre-Int (AS) + ODIS,1.385506261901912e-06,2.919178786277771,512
120,8192,Crude MC,0.0010592323748287314,0.4326171875,512
120,8192,MC + ODIS,0.00018172120324571288,0.4729507493972778,512
120,8192,Plain RQMC,0.0008480247238106686,0.7882105541229248,512
120,8192,RQMC + ODIS,0.00016838093277055463,0.8194960594177246,512
120,8192,Pre-Int (AS),8.309003903967463e-07,5.440758190155029,512
120,8192,Pre-Int (AS) + ODIS,7.208402818875817e-07,5.409932069778442,512
