K,N,Method,RMSE,Time
100,128,Crude MC,0.33307779556589195,0.0006649255752563477
100,128,Plain RQMC,0.07769243886343738,0.006247774759928385
100,128,Pre-Int (z1),0.06399579071877169,0.08654534022013347
100,128,Pre-Int (AS),0.001924482913315729,0.08018996715545654
100,256,Crude MC,0.3432840884893451,0.0006556193033854167
100,256,Plain RQMC,0.04542497466568426,0.0047781070073445635
100,256,Pre-Int (z1),0.03436917163396536,0.1361954609553019
100,256,Pre-Int (AS),0.0008190724422224131,0.13827594916025798
100,512,Crude MC,0.2286739172391601,0.001148684819539388
100,512,Plain RQMC,0.026683655923853872,0.005680894851684571
100,512,Pre-Int (z1),0.02007457939227846,0.23176633516947429
100,512,Pre-Int (AS),0.0003562569869141817,0.2555606524149577
100,1024,Crude MC,0.11762604923020371,0.0016031344731648764
100,1024,Plain RQMC,0.015617343633898906,0.006732519467671712
100,1024,Pre-Int (z1),0.009742214495323653,0.39367957909901935
100,1024,Pre-Int (AS),0.00021324951333120113,0.46362593173980715
100,2048,Crude MC,0.09878908116436418,0.0033488750457763674
100,2048,Plain RQMC,0.010208754994627802,0.010442884763081868
100,2048,Pre-Int (z1),0.008903718325168286,0.7165412028630574
100,2048,Pre-Int (AS),6.171989863389384e-05,0.7697687307993571
100,4096,Crude MC,0.07403357457924818,0.009768128395080566
100,4096,Plain RQMC,0.005856014031763299,0.02361021041870117
100,4096,Pre-Int (z1),0.005092287837398133,1.5261552651723227
100,4096,Pre-Int (AS),4.626052860622518e-05,1.5087808926900228
100,8192,Crude MC,0.058910215784227074,0.019309226671854654
100,8192,Plain RQMC,0.006033935692659533,0.042645772298177086
100,8192,Pre-Int (z1),0.0026987505470337037,2.7742482741673786
100,8192,Pre-Int (AS),2.5708609711233723e-05,2.9000681082407636
120,128,Crude MC,0.043126833547227336,0.0003933906555175781
120,128,MC + ODIS,0.0034828542614004474,0.0004918813705444336
120,128,Plain RQMC,0.025782297426057,0.0048925479253133135
120,128,RQMC + ODIS,0.0021133094190035383,0.005112051963806152
120,128,Pre-Int (AS),3.336155900941639e-05,0.0762733538945516
120,128,Pre-Int (AS) + ODIS,4.3598659826355566e-05,0.07827017307281495
120,256,Crude MC,0.027422940660688053,0.00045379002888997394
120,256,MC + ODIS,0.001732027403012917,0.0007457733154296875
120,256,Plain RQMC,0.01906790220267746,0.004695924123128256
120,256,RQMC + ODIS,0.0016634030329497544,0.005691925684611003
120,256,Pre-Int (AS),1.531551606505285e-05,0.15023632049560548
120,256,Pre-Int (AS) + ODIS,1.6139668013808656e-05,0.14211204051971435
120,512,Crude MC,0.025767005898494434,0.0012045462926228842
120,512,MC + ODIS,0.0015087379792757228,0.0012975056966145833
120,512,Plain RQMC,0.015356830776344171,0.00576019287109375
120,512,RQMC + ODIS,0.0013658701556406396,0.007985337575276693
120,512,Pre-Int (AS),9.020472784386775e-06,0.2514500617980957
120,512,Pre-Int (AS) + ODIS,8.579311982068801e-06,0.25431126753489175
120,1024,Crude MC,0.01332006381562106,0.002116815249125163
120,1024,MC + ODIS,0.0010077142219857642,0.002303814888000488
120,1024,Plain RQMC,0.010024824399405986,0.006587950388590494
120,1024,RQMC + ODIS,0.001144215317208445,0.007330409685770671
120,1024,Pre-Int (AS),4.3311205009852714e-06,0.4365575631459554
120,1024,Pre-Int (AS) + ODIS,3.99469711971455e-06,0.4265380144119263
120,2048,Crude MC,0.00679669309880391,0.0028967936833699543
120,2048,MC + ODIS,0.000679958239676641,0.0037944475809733075
120,2048,Plain RQMC,0.00663872340273011,0.010701688130696614
120,2048,RQMC + ODIS,0.0005167078458584816,0.01126399040222168
120,2048,Pre-Int (AS),2.0944315397618985e-06,0.7687946478525798
120,2048,Pre-Int (AS) + ODIS,2.131347412087629e-06,0.7834882100423177
120,4096,Crude MC,0.006019933035563709,0.008266584078470866
120,4096,MC + ODIS,0.0005839803728491825,0.010102613766988119
120,4096,Plain RQMC,0.004844534865550164,0.019981988271077476
120,4096,RQMC + ODIS,0.00042486083983442,0.022254411379496256
120,4096,Pre-Int (AS),7.809295020685279e-07,1.4915443340937296
120,4096,Pre-Int (AS) + ODIS,9.30024933326793e-07,1.7278563817342123
120,8192,Crude MC,0.004692376809536476,0.017511836687723794
120,8192,MC + ODIS,0.0003287279709695819,0.024017723401387532
120,8192,Plain RQMC,0.00245748548809531,0.041120688120524086
120,8192,RQMC + ODIS,0.00030839687159947977,0.04402819474538167
120,8192,Pre-Int (AS),4.446884208150002e-07,2.8273884455362954
120,8192,Pre-Int (AS) + ODIS,5.256621393720057e-07,2.8737913608551025
